File_Name,Date,Max_Size_1,Max_Size_2,Area
d11.csv,1996336,48,9,1481.7185279999999
c30.csv,2016001,9,3,92.60740799999999
b13.csv,1997054,16,5,274.39232
a32.csv,1995057,41,21,2953.1473440000004
a14.csv,1980349,30,20,2057.9424
b31.csv,2013216,21,12,864.335808
a50.csv,2003096,10,1,34.29904
c12.csv,1997061,12,6,246.953088
a05.csv,1979301,15,10,514.4856
d20.csv,2013175,28,11,1056.4104320000001
a41.csv,1999031,13,8,356.71001600000005
c03.csv,1983023,25,20,1714.9520000000002
b04.csv,1983184,18,4,246.953088
a23.csv,1986271,56,39,7490.910336000001
d02.csv,1976347,20,15,1028.9712
b40.csv,2016001,8,5,137.19616
c21.csv,2003068,22,11,830.0367679999999
c38.csv,2022074,16,10,548.78464
a76.csv,2021134,89,14,4273.660384
b39.csv,2016001,8,4,109.75692800000002
a58.csv,2008188,11,2,75.457888
d28.csv,2023160,30,19,1955.0452800000003
a49.csv,2003001,10,1,34.29904
b48.csv,2020038,12,2,82.317696
c29.csv,2016001,7,5,120.04664
c34.csv,2017120,11,5,188.64472
a72.csv,2021022,11,4,150.915776
d15.csv,2011242,55,29,5470.69688
a36.csv,1998123,14,7,336.13059200000004
b17.csv,2000114,47,12,1934.4658560000003
c16.csv,2000268,26,10,891.77504
a54.csv,2006050,30,13,1337.66256
b35.csv,2015226,11,7,264.10260800000003
a09.csv,1980013,20,10,685.9807999999999
a81.csv,2023027,28,25,2400.9328000000005
d24.csv,2016001,6,5,102.89712
c07.csv,1988073,20,10,685.9807999999999
a45.csv,2001245,13,4,178.35500800000003
b26.csv,2004060,11,4,150.915776
a27.csv,1994275,14,6,288.111936
b08.csv,1987102,15,10,514.4856
c25.csv,2006085,7,6,144.055968
a63.csv,2012344,11,3,113.186832
d06.csv,1980132,21,13,936.3637920000001
b44.csv,2017272,15,5,257.2428
a01.csv,1978295,45,25,3858.6420000000007
a10.csv,1980041,20,15,1028.9712
a70.csv,2021008,8,5,137.19616
d13.csv,1997002,14,4,192.07462400000003
b15.csv,2011268,11,7,264.10260800000003
a34.csv,1996245,22,21,1584.6156480000002
d31.csv,2022028,16,2,109.75692800000002
a16.csv,1981319,35,15,1800.6996000000004
b33.csv,2015058,11,2,75.457888
a52.csv,2003040,22,10,754.57888
c14.csv,2000058,18,7,432.167904
d22.csv,2013314,12,3,123.476544
a07.csv,1979315,25,10,857.4760000000001
b24.csv,2003040,12,6,246.953088
c05.csv,1986075,38,21,2737.0633920000005
b06.csv,1984057,20,20,1371.9615999999999
a25.csv,1986292,28,8,768.2984960000001
d04.csv,1979266,30,10,1028.9712
b42.csv,2017097,17,5,291.54184000000004
a61.csv,2010024,14,4,192.07462400000003
c23.csv,2005100,6,3,61.738272
a78.csv,2021239,18,4,246.953088
a69.csv,2020178,19,10,651.68176
c36.csv,2019032,23,16,1262.204672
a74.csv,2021064,30,18,1852.14816
a38.csv,1998284,80,26,7134.20032
b19.csv,2000163,23,4,315.551168
c18.csv,2003005,11,5,188.64472
a56.csv,2010318,15,7,360.13992
b37.csv,2016001,8,3,82.317696
d26.csv,2018103,19,2,130.336352
c09.csv,1996098,17,7,408.15857600000004
a47.csv,2003005,14,9,432.167904
b28.csv,2010318,11,7,264.10260800000003
a29.csv,1989358,20,10,685.9807999999999
c27.csv,2010024,10,5,171.49519999999998
d08.csv,1995099,8,6,164.635392
b46.csv,2023160,18,5,308.69136
a03.csv,1979035,25,10,857.4760000000001
c01.csv,1979245,15,40,2057.9424
a21.csv,1986208,29,22,2188.278752
b02.csv,1983009,20,10,685.9807999999999
a12.csv,1980202,15,10,514.4856
c10.csv,1996350,29,17,1690.9426720000004
a30.csv,1991076,15,9,463.03704
b11.csv,1995057,15,5,257.2428
b14.csv,2000002,29,10,994.6721600000001
a33.csv,1994163,30,15,1543.4568000000002
b50.csv,2020104,15,6,308.69136000000003
d12.csv,1997002,28,22,2112.8208640000003
b32.csv,2014269,11,1,37.728944
c13.csv,1997068,5,2,34.29904
a51.csv,2002300,14,2,96.03731200000001
a15.csv,1981081,30,12,1234.7654400000001
b23.csv,2003005,11,2,75.457888
c04.csv,1979357,30,10,1028.9712
a42.csv,1999136,20,5,342.99039999999997
a06.csv,1979308,25,10,857.4760000000001
d21.csv,2013305,21,8,576.223872
b41.csv,2016253,8,4,109.75692800000002
d03.csv,1977338,20,15,1028.9712
c22.csv,2005051,6,3,61.738272
b05.csv,1983170,20,20,1371.9615999999999
a24.csv,1986271,52,49,8739.395392
a77.csv,2021232,27,4,370.429632
c39.csv,2022119,15,8,411.58848000000006
a59.csv,2008188,13,4,178.35500800000003
b49.csv,2020045,10,5,171.49519999999998
a68.csv,2017244,82,25,7031.303200000001
a37.csv,1998123,10,7,240.09328
b18.csv,2000093,15,4,205.79424000000003
a73.csv,2021022,9,5,154.34568
c35.csv,2018215,12,5,205.79424
a55.csv,2008041,15,4,205.79424000000003
c17.csv,2002062,11,5,188.64472
b36.csv,2015240,11,4,150.915776
a19.csv,1983107,17,12,699.700416
a46.csv,2003005,11,4,150.915776
c08.csv,1996035,28,12,1152.447744
b27.csv,2008146,22,13,980.952544
d25.csv,2016036,13,8,356.71001600000005
a64.csv,2014101,16,11,603.663104
c26.csv,2010325,11,1,37.728944
b45.csv,2018215,8,6,164.635392
d07.csv,1983037,15,5,257.2428
a28.csv,1989267,22,10,754.57888
b09.csv,1987284,86,22,6489.378368000001
a02.csv,1978316,30,10,1028.9712
a20.csv,1986026,52,52,9274.460416
b01.csv,1979294,20,13,891.77504
a11.csv,1980125,25,10,857.4760000000001
b10.csv,1992012,64,33,7243.957248000001
a35.csv,1996343,19,16,1042.690816
b16.csv,2000072,22,8,603.663104
a71.csv,2021008,8,3,82.317696
c33.csv,2016225,11,4,150.915776
d14.csv,2013175,13,8,356.71001600000005
a53.csv,2005009,35,16,1920.7462400000004
c15.csv,2011310,16,7,384.14924800000006
b34.csv,2015072,15,5,257.2428
d32.csv,2022288,10,9,308.69136
a17.csv,1983107,25,23,1972.1948000000004
a44.csv,2001035,13,4,178.35500800000003
c06.csv,1987165,25,15,1286.2140000000002
b25.csv,2003040,11,7,264.10260800000003
d23.csv,2016001,8,6,164.635392
a08.csv,1979357,25,10,857.4760000000001
a62.csv,2012036,14,5,240.09328
c24.csv,2005072,20,3,205.79424
b43.csv,2017097,10,5,171.49519999999998
d05.csv,1979350,25,10,857.4760000000001
b07.csv,1987102,20,20,1371.9615999999999
a26.csv,1987277,16,8,439.02771200000007
a79.csv,2022070.0,9.5,3.0,97.75226400000001
a39.csv,1998298,15,10,514.4856
a75.csv,2021085,8,3,82.317696
b38.csv,2016001,6,4,82.317696
a57.csv,2008146,19,5,325.84088
c19.csv,2002132,88,17,5131.136384
b29.csv,2010024,13,5,222.94376
a48.csv,2003026,10,9,308.69136
d27.csv,2018059,8,5,137.19616
d09.csv,1995064,42,12,1728.671616
b47.csv,2019263,19,5,325.84088
a66.csv,2016001,7,4,96.03731200000001
c28.csv,2010045,43,20,2949.7174400000004
b21.csv,2001315,21,10,720.27984
c02.csv,1979035,30,10,1028.9712
a40.csv,1999031,19,6,391.00905600000004
a04.csv,1979294,30,10,1028.9712
d01.csv,1976032,24,17,1399.400832
c20.csv,2003068,18,10,617.38272
a22.csv,1986271,45,43,6636.864240000001
b03.csv,1983030,18,17,1049.550624
b30.csv,2012288,32,17,1865.8677760000003
c11.csv,1997061,21,4,288.111936
a13.csv,1980223,30,10,1028.9712
d10.csv,1996063,17,9,524.775312
a31.csv,1991090,20,9,617.38272
b12.csv,1997054,13,3,133.766256
